{370,364,497}.
{103,97,35}.
{580,853,19}.
{527,929,600}.
{398,470,588}.
{650,199,798}.
{856,78,372}.
{373,291,98}.
{154,324,778}.
{441,200,536}.
{695,105,857}.
{797,422,27}.
{460,850,108}.
{566,322,264}.
{765,906,696}.
{517,368,889}.
{89,550,350}.
{616,957,155}.
{874,875,374}.
{119,247,898}.
{570,334,353}.
{683,224,514}.
{759,665,719}.
{582,634,839}.
{222,321,720}.
{512,357,725}.
{82,350,267}.
{228,242,816}.
{730,654,373}.
{815,835,904}.
{296,403,52}.
{992,289,886}.
{62,871,270}.
{38,380,356}.
{535,731,23}.
{415,122,700}.
{903,436,60}.
{541,658,685}.
{203,136,579}.
{243,688,278}.
{565,959,223}.
{762,290,843}.
{525,919,907}.
{721,183,134}.
{812,174,300}.
{787,112,74}.
{574,500,413}.
{419,782,677}.
{293,489,903}.
{785,923,529}.
{528,838,210}.
{629,420,871}.
{593,506,604}.
{578,762,920}.
{749,670,650}.
{857,465,9}.
{587,221,137}.
{598,126,126}.
{652,87,218}.
{777,545,323}.
{906,629,154}.
{695,712,467}.
{556,561,379}.
{668,340,396}.
{290,485,260}.
{884,279,19}.
{622,465,405}.
{949,238,941}.
{126,208,948}.
{890,511,529}.
{663,749,603}.
{962,663,928}.
{468,449,553}.
{622,427,677}.
{19,850,495}.
{196,117,100}.
{143,554,947}.
{926,153,156}.
{682,84,560}.
{908,755,353}.
{421,40,626}.
{832,35,673}.
{807,777,398}.
{298,403,337}.
{828,831,188}.
{915,845,577}.
{974,802,678}.
{641,881,940}.
{349,48,932}.
{464,137,386}.
{277,745,2}.
{100,786,195}.
{676,990,605}.
{849,628,999}.
{730,439,633}.
{208,828,43}.
{160,361,148}.
{490,351,33}.
{638,896,246}.
{91,643,565}.
{802,708,501}.
{865,742,574}.
{218,507,836}.
{872,873,313}.
{666,619,948}.
{432,493,904}.
{778,618,412}.
{704,761,97}.
{770,211,358}.
{181,435,525}.
{389,954,98}.
{591,949,556}.
{56,822,141}.
{675,209,273}.
{364,306,883}.
{371,113,119}.
{486,869,343}.
{757,938,703}.
{485,840,904}.
{752,390,394}.
{350,304,341}.
{255,527,901}.
{160,838,366}.
{416,734,254}.
{357,240,680}.
{535,60,345}.
{377,584,788}.
{114,113,331}.
{356,915,953}.
{877,812,931}.
{115,558,983}.
{628,233,153}.
{880,410,982}.
{160,936,587}.
{869,901,334}.
{203,804,827}.
{910,896,439}.
{451,269,557}.
{58,584,599}.
{371,41,187}.
{470,127,855}.
{208,519,189}.
{998,231,295}.
{452,662,559}.
{495,401,208}.
{108,368,233}.
{481,768,715}.
{42,439,961}.
{987,312,727}.
{754,942,617}.
{800,586,656}.
{968,324,356}.
{742,609,315}.
{874,562,926}.
{87,265,750}.
{362,572,829}.
{835,586,398}.
{914,619,866}.
{251,305,659}.
{653,899,83}.
{764,332,300}.
{906,476,676}.
{148,531,781}.
{115,142,700}.
{82,901,587}.
{32,970,724}.
{895,808,209}.
{690,371,593}.
{345,477,857}.
{675,451,340}.
{462,164,835}.
{628,36,813}.
{503,106,835}.
{71,172,275}.
{375,1000,587}.
{353,340,394}.
{229,366,959}.
{942,344,674}.
{734,763,377}.
{328,49,942}.
{295,632,794}.
{912,303,510}.
{438,761,740}.
{677,584,548}.
{688,391,369}.
{567,399,790}.
{27,131,978}.
{398,134,902}.
{986,384,397}.
{394,199,403}.
{758,121,365}.
{557,363,751}.
{393,255,445}.
{615,700,307}.
{280,863,988}.
{58,686,71}.
{200,7,681}.
{818,327,371}.
{591,548,447}.
{229,679,861}.
{610,347,384}.
{81,778,28}.
{917,565,771}.
{112,542,724}.
{201,651,350}.
{832,312,545}.
{301,82,766}.
{704,38,597}.
{40,461,483}.
{621,894,532}.
{67,453,37}.
{786,548,46}.
{285,911,649}.
{768,698,875}.
{773,36,972}.
{588,120,436}.
{732,830,375}.
{885,200,871}.
{705,854,153}.
{269,181,461}.
{633,480,73}.
{829,36,332}.
{416,12,589}.
{437,320,474}.
{554,74,632}.
{241,783,798}.
{102,65,252}.
{989,529,101}.
{605,734,449}.
{506,792,128}.
{102,17,314}.
{166,905,528}.
{376,118,210}.
{814,907,768}.
{36,397,18}.
{397,727,318}.
{166,97,140}.
{41,896,718}.
{713,964,393}.
{716,410,491}.
{828,473,437}.
{410,244,66}.
{825,826,152}.
{312,60,41}.
{65,353,263}.
{436,222,345}.
{883,60,309}.
{811,979,277}.
{376,417,849}.
{786,25,172}.
{894,652,581}.
{51,29,192}.
{569,168,950}.
{251,68,528}.
{808,541,897}.
{358,309,868}.
{890,983,45}.
{163,928,848}.
{236,417,163}.
{663,993,198}.
{194,227,393}.
{670,631,744}.
{841,264,450}.
{510,567,376}.
{937,518,908}.
{405,953,874}.
{978,826,531}.
{967,258,71}.
{914,32,547}.
{75,426,504}.
{102,440,392}.
{767,519,557}.
{684,798,48}.
{118,386,559}.
{705,209,11}.
{895,316,818}.
{857,738,180}.
{750,187,525}.
{737,665,899}.
{787,60,745}.
{41,69,974}.
{740,393,387}.
{320,935,286}.
{475,800,190}.
{550,366,545}.
{361,448,733}.
{490,967,828}.
{483,390,931}.
{891,659,613}.
{453,179,535}.
{34,553,647}.
{773,403,633}.
{420,865,768}.
{363,269,448}.
{470,811,709}.
{695,858,493}.
{980,11,900}.
{783,225,818}.
{996,317,871}.
{429,296,344}.
{180,464,808}.
{753,97,46}.
{339,458,275}.
{818,601,280}.
{721,5,319}.
{41,611,755}.
{200,484,370}.
{121,681,896}.
{897,351,550}.
{200,809,699}.
{619,996,941}.
{656,413,946}.
{441,39,42}.
{417,760,781}.
{802,954,394}.
{90,658,152}.
{103,49,759}.
{902,539,692}.
{515,21,797}.
{357,533,916}.
{485,851,636}.
{515,191,208}.
{6,71,233}.
{459,702,871}.
{100,781,936}.
{455,536,387}.
{997,209,135}.
{841,312,599}.
{602,163,934}.
{600,526,778}.
{304,659,299}.
{48,369,779}.
{703,179,292}.
{445,506,127}.
{266,993,960}.
{186,601,620}.
{494,834,620}.
{304,884,631}.
{541,167,800}.
{174,862,41}.
{177,854,502}.
{463,254,958}.
{580,685,373}.
{523,160,113}.
{987,445,373}.
{840,995,270}.
{923,782,843}.
{794,820,248}.
{705,806,909}.
{473,493,815}.
{427,181,576}.
{914,763,925}.
{733,490,287}.
{979,271,43}.
{342,585,658}.
{364,177,135}.
{130,817,232}.
{802,422,673}.
{322,264,405}.
{723,574,553}.
{358,338,857}.
{43,214,96}.
{902,391,279}.
{254,406,832}.
{766,583,398}.
{818,953,210}.
{709,308,508}.
{619,404,568}.
{864,458,457}.
{413,395,791}.
{81,465,637}.
{42,707,60}.
{554,841,668}.
{671,911,192}.
{174,236,838}.
{41,802,686}.
{652,405,747}.
{965,98,454}.
{758,84,839}.
{433,163,183}.
{345,971,754}.
{333,147,261}.
{758,938,985}.
{738,516,444}.
{815,617,224}.
{769,275,508}.
{912,945,746}.
{932,556,885}.
{277,106,251}.
{182,161,109}.
{972,165,747}.
{581,365,25}.
{410,349,431}.
{366,569,613}.
{201,750,684}.
{527,837,367}.
{555,695,283}.
{415,178,692}.
{93,159,862}.
{629,327,800}.
{513,208,871}.
{832,265,223}.
{483,838,789}.
{777,183,395}.
{698,629,345}.
{507,989,763}.
{810,809,960}.
{70,707,755}.
{285,673,892}.
{428,572,210}.
{610,28,775}.
{291,546,127}.
{818,493,45}.
{232,578,17}.
{370,383,723}.
{854,261,734}.
{344,859,651}.
{862,690,635}.
{966,529,441}.
{539,676,402}.
{361,958,25}.
{236,949,166}.
{909,83,648}.
{980,91,191}.
{273,395,37}.
{254,174,175}.
{819,381,576}.
{565,119,47}.
{655,121,608}.
{113,409,896}.
{302,310,443}.
{341,968,218}.
{230,658,790}.
{201,855,400}.
{30,805,809}.
{882,39,799}.
{390,425,801}.
{794,594,587}.
{665,500,767}.
{343,687,513}.
{728,54,504}.
{461,271,119}.
{601,605,18}.
{852,816,242}.
{861,180,480}.
{206,384,436}.
{581,50,983}.
{701,228,881}.
{459,470,771}.
{449,569,249}.
{95,56,161}.
{786,652,209}.
{55,222,538}.
{867,140,105}.
{993,510,920}.
{205,737,136}.
{395,202,204}.
{6,204,526}.
{791,781,462}.
{125,962,60}.
{935,521,790}.
{876,874,270}.
{104,843,211}.
{68,145,682}.
{621,866,368}.
{341,461,669}.
{938,22,821}.
{676,513,573}.
{146,943,1000}.
{863,131,511}.
{235,159,747}.
{593,334,508}.
{255,189,85}.
{574,456,664}.
{192,173,811}.
{733,399,214}.
{37,819,762}.
{892,602,167}.
{562,830,43}.
{191,815,401}.
{253,778,939}.
{172,125,562}.
{214,706,237}.
{552,143,865}.
{231,752,228}.
{1000,298,336}.
{810,302,255}.
{536,11,965}.
{583,477,787}.
{21,415,31}.
{988,219,953}.
{735,637,493}.
{235,546,929}.
{113,43,756}.
{403,274,352}.
{917,405,226}.
{228,448,483}.
{924,789,752}.
{185,219,469}.
{113,103,931}.
{463,277,440}.
{238,20,64}.
{84,197,295}.
{977,271,255}.
{814,453,53}.
{876,353,711}.
{502,258,811}.
{115,387,270}.
{432,129,255}.
{85,628,382}.
{766,315,231}.
{621,48,202}.
{634,813,797}.
{140,249,99}.
{850,391,462}.
{188,773,907}.
{498,665,46}.
{977,659,247}.
{998,67,113}.
{847,965,664}.
{776,827,841}.
{332,52,747}.
{429,518,434}.
{523,250,70}.
{432,978,326}.
{493,312,275}.
{600,633,7}.
{10,36,675}.
{897,279,166}.
{667,656,777}.
{591,639,246}.
{789,619,774}.
{5,698,96}.
{717,425,925}.
{200,666,777}.
{101,10,810}.
{369,159,370}.
{328,328,522}.
{653,800,512}.
{65,43,401}.
{576,208,400}.
{970,176,235}.
{557,595,684}.
{457,462,791}.
{246,32,904}.
{297,561,112}.
{509,31,457}.
{94,686,550}.
{377,417,299}.
{346,525,538}.
{632,38,583}.
{418,637,356}.
{675,458,230}.
{336,441,877}.
{921,266,362}.
{114,452,270}.
{102,836,831}.
{72,797,886}.
{453,201,507}.
{392,961,171}.
{45,839,502}.
{388,448,863}.
{762,975,607}.
{745,21,574}.
{758,840,120}.
{524,972,273}.
{830,821,362}.
{580,411,159}.
{96,291,754}.
{320,193,555}.
{195,360,840}.
{669,737,377}.
{30,335,849}.
{458,457,173}.
{137,321,461}.
{27,183,635}.
{306,539,862}.
{92,477,827}.
{909,212,527}.
{377,814,321}.
{251,670,738}.
{794,28,613}.
{689,964,106}.
{549,110,152}.
{242,336,204}.
{704,945,581}.
{338,752,105}.
{565,421,475}.
{394,748,53}.
{263,1,294}.
{872,765,615}.
{785,547,528}.
{691,469,55}.
{784,323,757}.
{508,857,874}.
{74,640,913}.
{921,181,579}.
{354,713,287}.
{12,51,452}.
{334,406,675}.
{605,863,323}.
{529,222,5}.
{946,841,206}.
{471,524,478}.
{158,870,147}.
{920,865,456}.
{756,696,669}.
{210,479,915}.
{396,491,861}.
{651,468,533}.
{475,161,912}.
{104,544,569}.
{877,48,449}.
{543,157,466}.
{280,891,583}.
{178,506,125}.
{150,626,371}.
{919,308,833}.
{63,714,664}.
{580,351,258}.
{279,440,594}.
{588,642,107}.
{99,411,856}.
{337,545,65}.
{46,309,43}.
{284,450,139}.
{921,288,610}.
{359,79,17}.
{697,504,705}.
{195,450,262}.
{984,57,578}.
{155,620,340}.
{533,588,709}.
{159,23,625}.
{327,984,613}.
{135,581,687}.
{604,922,47}.
{951,630,6}.
{218,955,160}.
{663,290,192}.
{333,830,265}.
{34,115,747}.
{376,161,699}.
{28,990,740}.
{896,636,127}.
{56,637,518}.
{723,445,400}.
{853,836,509}.
{816,618,110}.
{403,852,443}.
{113,305,98}.
{738,103,834}.
{828,526,46}.
{92,282,253}.
{985,373,500}.
{434,311,114}.
{410,585,255}.
{922,725,163}.
{745,44,899}.
{649,371,75}.
{910,683,484}.
{25,948,512}.
{563,96,997}.
{258,1000,921}.
{306,159,923}.
{742,627,330}.
{218,936,273}.
{550,249,508}.
{18,126,354}.
{128,140,289}.
{306,345,847}.
{198,900,776}.
{497,694,462}.
{981,625,647}.
{328,202,348}.
{358,789,672}.
{951,510,626}.
{530,120,646}.
{594,527,859}.
{600,761,196}.
{914,272,758}.
{105,964,289}.
{292,198,893}.
{369,969,129}.
{550,549,678}.
{772,297,908}.
{780,549,77}.
{20,19,91}.
{561,122,985}.
{7,972,666}.
{262,466,711}.
{494,396,694}.
{122,244,172}.
{166,936,980}.
{415,353,20}.
{893,528,401}.
{332,592,576}.
{931,504,646}.
{19,590,363}.
{522,160,172}.
{952,282,993}.
{997,876,656}.
{729,145,150}.
{697,531,630}.
{903,246,404}.
{923,356,395}.
{401,923,225}.
{873,894,879}.
{205,136,471}.
{296,339,175}.
{108,314,225}.
{477,458,12}.
{739,984,651}.
{127,656,850}.
{134,625,919}.
{967,468,671}.
{633,260,257}.
{593,314,298}.
{962,226,454}.
{514,535,358}.
{723,702,615}.
{470,479,470}.
{794,635,135}.
{495,355,508}.
{471,156,475}.
{418,1,200}.
{721,362,573}.
{589,345,985}.
{152,955,270}.
{246,93,842}.
{217,394,728}.
{569,54,550}.
{918,932,319}.
{954,745,118}.
{756,373,877}.
{502,457,65}.
{551,750,299}.
{390,615,310}.
{974,372,988}.
{677,704,195}.
{683,697,574}.
{968,852,458}.
{248,922,379}.
{144,283,561}.
{359,593,471}.
{217,715,822}.
{769,723,179}.
{793,635,981}.
{677,138,230}.
{367,27,855}.
{441,402,545}.
{603,54,417}.
{581,766,361}.
{385,271,615}.
{78,914,459}.
{656,261,27}.
{118,58,936}.
{331,712,427}.
{28,262,714}.
{76,219,351}.
{311,464,590}.
{273,124,988}.
{93,167,58}.
{86,554,519}.
{207,534,360}.
{667,416,421}.
{302,273,668}.
{117,95,604}.
{752,269,846}.
{616,969,741}.
{104,959,935}.
{289,811,348}.
{16,89,571}.
{213,316,195}.
{516,986,476}.
{688,447,340}.
{489,621,499}.
{686,761,407}.
{740,235,542}.
{438,262,642}.
{472,608,45}.
{514,485,986}.
{578,70,262}.
{632,367,175}.
