[[0.24353961299395843, 0.0, 0.0, 0.0, 0.0], [0.8122106295844166, 0.0, 0.892481962004115, 0.40490529934160535, 0.48744203229536887], [0.0, 0.0, 0.0, 0.0, 0.4561225059716433], [0.0, 0.918035780346588, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2501834787918841, 0.27632885625225856, 0.8831627312369104]].
[[0.0, 0.0, 0.0, 0.0, 0.5630871454867583], [0.5922723496045798, 0.0, 0.5833858805349467, 0.0889584035675558, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]].
[[0.32909460357631903, 0.7491163819141506, 0.0, 0.4393726735606014, 0.0], [0.48820809369663887, 0.0, 0.0, 0.0, 0.0], [0.0, 0.9259506671930182, 0.20310750792425236, 0.0, 0.0], [0.0, 0.6516122887528765, 0.0, 0.0, 0.38845512626157797], [0.0, 0.18455806907605354, 0.0, 0.0, 0.0]].
[[0.2277993527801182, 0.0, 0.0, 0.3797464829867705, 0.0], [0.0, 0.0, 0.42957423413611695, 0.6100159375973151, 0.13674679345476914], [0.0, 0.0, 0.0, 0.0, 0.7286706992156349], [0.0, 0.0, 0.0, 0.053916006257141436, 0.0], [0.0, 0.0, 0.5697742256387868, 0.0, 0.0]].
[[0.0, 0.8921402198355993, 0.0, 0.7704714189053723, 0.0], [0.0, 0.0, 0.0, 0.0825057737838144, 0.31753133272849676], [0.0, 0.0, 0.5729890475568942, 0.005565839653631777, 0.0], [0.0, 0.0, 0.10963853717691185, 0.5344587551021127, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]].
[[0.34939988755108653, 0.9877827981697552, 0.0, 0.0, 0.6916501406889486], [0.0, 0.0, 0.0, 0.0, 0.0], [0.7339717480185906, 0.0, 0.0, 0.6926543681808217, 0.0], [0.0, 0.0, 0.0, 0.0, 0.8579879196565323], [0.4148840455247792, 0.0, 0.898231990250795, 0.0, 0.0]].
[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.4807035647178124, 0.0, 0.0, 0.0], [0.0, 0.04400249766006925, 0.0, 0.012275669331241579, 0.0], [0.0, 0.8260747738413484, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]].
[[0.0, 0.5374917403555645, 0.0, 0.0, 0.0], [0.2690721899925874, 0.0, 0.0, 0.0, 0.0], [0.4993427077954905, 0.23667168619624246, 0.0, 0.0, 0.0], [0.814188153896953, 0.5164268141780948, 0.0, 0.9987506669608265, 0.0], [0.16986602842310683, 0.0, 0.0, 0.8558364060393793, 0.29479338020231827]].
[[0.0, 0.49967762825628204, 0.6840533146439733, 0.0, 0.0], [0.0, 0.0, 0.9321368497561707, 0.6621768677903715, 0.0], [0.5801473819887244, 0.0, 0.918750899866007, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.2292183022643357], [0.0, 0.0, 0.0, 0.0, 0.0]].
[[0.08454886923258187, 0.45612425869097095, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.46551223898592786, 0.0], [0.0, 0.9084734232892405, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.8415620614479699, 0.0, 0.0, 0.0]].
[[0.0, 0.0, 0.0, 0.0, 0.0], [0.6620047895149007, 0.9029778457039546, 0.0, 0.033417869467426975, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.22766207846249786, 0.6777885092682416, 0.0], [0.0, 0.0, 0.0, 0.0037482536677270195, 0.0]].
[[0.0, 0.0, 0.4911680141486625, 0.0, 0.0], [0.0, 0.517052716467008, 0.0, 0.0, 0.0], [0.0, 0.895219664904633, 0.29806072238170955, 0.0, 0.5849387388908559], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.8316075494425199, 0.0, 0.0]].
[[0.15978506819163818, 0.0, 0.7852801278033394, 0.0, 0.0], [0.8987043559645149, 0.0, 0.8509735670138908, 0.39884851743697436, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.6266764569642641, 0.0], [0.0, 0.0, 0.07312560463920392, 0.0, 0.0]].
[[0.6592930469919567, 0.0, 0.0, 0.7336589911446556, 0.0], [0.0, 0.0, 0.0, 0.0, 0.03730267355760941], [0.8920149872044889, 0.0, 0.0, 0.0, 0.0], [0.5367090326333159, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.6777712452393863]].
[[0.0, 0.0, 0.6192081459475728, 0.0, 0.0], [0.0, 0.514971484677551, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.8962266724584009], [0.0, 0.0, 0.0, 0.0, 0.33709996185629776], [0.0, 0.09243135177919637, 0.0, 0.0, 0.0]].
[[0.0, 0.01578835597735928, 0.24890527788970096, 0.0, 0.0], [0.49709528085576715, 0.0, 0.0, 0.40227405012138995, 0.26673341407895035], [0.039978983315539285, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]].
[[0.0, 0.26303911092540966, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.4469617793348428, 0.0], [0.9857357672807244, 0.0, 0.5051894629759192, 0.04016627434066389, 0.005983263450657028], [0.0, 0.0, 0.07926338805091504, 0.9103570501728105, 0.07221676330618643], [0.0, 0.0, 0.0, 0.0, 0.9720439477530614]].
[[0.048193692361913065, 0.0, 0.0, 0.437570940858533, 0.30144120423786136], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.372495348570669, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]].
[[0.0, 0.5091213768970445, 0.18116228257114053, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0798238148288184], [0.0, 0.2730485208729888, 0.0, 0.9560810546733536, 0.0], [0.42938554104094306, 0.0, 0.80856408851566, 0.10382226525592053, 0.0], [0.0, 0.0, 0.2530347431216089, 0.0, 0.0]].
[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0729669433794391, 0.0, 0.0, 0.6598004503345878, 0.0], [0.0, 0.0, 0.42807508712470277, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0]].
[[0.0, 0.0, 0.6905501404511049, 0.0, 0.0], [0.0, 0.0, 0.3881455258637768, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.39555205147144634, 0.0, 0.0], [0.0, 0.0, 0.7286920353308266, 0.0, 0.6521863316257736]].
